x,y,cp
+9.31849e-01,+9.27022e-03,+8.53829e-02
+9.44513e-01,+7.60509e-03,+1.08517e-01
+9.56024e-01,+6.06930e-03,+1.35842e-01
+9.66326e-01,+4.67674e-03,+1.62270e-01
+9.75365e-01,+3.44077e-03,+1.94582e-01
+9.83084e-01,+2.37380e-03,+2.26412e-01
+9.89426e-01,+1.48970e-03,+2.68379e-01
+9.94333e-01,+8.01344e-04,+3.10432e-01
+9.97733e-01,+3.21628e-04,+3.74807e-01
+9.99523e-01,+6.78937e-05,+4.40586e-01
