# x,y,cp
0.02640,-0.02680,0.05260
0.02884,-0.02790,0.01947
0.03148,-0.02902,-0.00896
0.03432,-0.03016,-0.03928
0.03738,-0.03133,-0.06575
0.04068,-0.03252,-0.09161
0.04425,-0.03373,-0.11638
0.04810,-0.03496,-0.13828
0.05225,-0.03622,-0.16038
0.05671,-0.03749,-0.17922
0.06151,-0.03877,-0.19937
0.06663,-0.04006,-0.21529
0.07209,-0.04134,-0.23135
0.07786,-0.04262,-0.24538
0.08395,-0.04388,-0.25896
0.09032,-0.04511,-0.26972
0.09695,-0.04631,-0.28005
0.10382,-0.04746,-0.28965
0.11090,-0.04857,-0.29680
0.11816,-0.04963,-0.30336
0.12558,-0.05063,-0.30904
0.13314,-0.05158,-0.31423
0.14082,-0.05247,-0.31847
0.14860,-0.05331,-0.32044
0.15648,-0.05409,-0.32311
0.16443,-0.05482,-0.32568
0.17246,-0.05549,-0.32638
0.18055,-0.05611,-0.32606
0.18869,-0.05667,-0.32787
0.19689,-0.05719,-0.32619
0.20513,-0.05766,-0.32591
0.21342,-0.05808,-0.32502
0.22174,-0.05846,-0.32355
0.23010,-0.05879,-0.32160
0.23849,-0.05908,-0.31993
0.24691,-0.05933,-0.31735
0.25536,-0.05954,-0.31512
0.26383,-0.05971,-0.31277
0.27233,-0.05984,-0.30889
0.28086,-0.05993,-0.30641
0.28940,-0.05999,-0.30292
0.29796,-0.06002,-0.29984
0.30655,-0.06001,-0.29587
0.31515,-0.05997,-0.29280
0.32376,-0.05989,-0.28863
0.33240,-0.05979,-0.28480
0.34105,-0.05965,-0.28080
0.34971,-0.05949,-0.27703
0.35839,-0.05930,-0.27280
0.36708,-0.05908,-0.26805
0.37578,-0.05884,-0.26387
0.38449,-0.05857,-0.26015
0.39322,-0.05828,-0.25529
0.40195,-0.05796,-0.25123
0.41070,-0.05761,-0.24659
0.41945,-0.05725,-0.24207
0.42822,-0.05686,-0.23726
0.43699,-0.05645,-0.23296
0.44577,-0.05602,-0.22871
0.45456,-0.05557,-0.22317
0.46336,-0.05510,-0.21939
0.47216,-0.05461,-0.21442
0.48097,-0.05410,-0.20986
0.48979,-0.05357,-0.20493
0.49861,-0.05303,-0.20055
0.50744,-0.05246,-0.19571
0.51628,-0.05188,-0.19080
0.52512,-0.05129,-0.18628
0.53397,-0.05067,-0.18155
0.54282,-0.05005,-0.17698
0.55167,-0.04940,-0.17196
0.56053,-0.04874,-0.16710
0.56939,-0.04807,-0.16321
0.57826,-0.04738,-0.15707
0.58713,-0.04668,-0.15316
0.59601,-0.04596,-0.14839
0.60488,-0.04523,-0.14318
0.61376,-0.04449,-0.13906
0.62265,-0.04373,-0.13367
0.63153,-0.04296,-0.12910
0.64042,-0.04218,-0.12406
0.64931,-0.04139,-0.11921
0.65820,-0.04058,-0.11432
0.66709,-0.03976,-0.10962
0.67598,-0.03893,-0.10431
0.68488,-0.03809,-0.09894
0.69378,-0.03724,-0.09504
0.70267,-0.03638,-0.08885
0.71157,-0.03550,-0.08425
0.72047,-0.03462,-0.07889
0.72937,-0.03372,-0.07359
0.73827,-0.03282,-0.06802
0.74716,-0.03190,-0.06284
0.75606,-0.03097,-0.05715
0.76496,-0.03003,-0.05197
0.77386,-0.02908,-0.04552
0.78275,-0.02812,-0.04033
0.79165,-0.02715,-0.03410
0.80054,-0.02617,-0.02777
0.80943,-0.02518,-0.02131
0.81832,-0.02418,-0.01484
0.82721,-0.02317,-0.00880
0.83609,-0.02215,-0.00104
0.84497,-0.02111,0.00553
0.85385,-0.02007,0.01387
0.86271,-0.01902,0.02112
0.87157,-0.01796,0.02965
0.88042,-0.01689,0.03800
0.88926,-0.01581,0.04709
0.89807,-0.01472,0.05648
0.90684,-0.01362,0.06741
0.91558,-0.01252,0.07801
0.92424,-0.01142,0.09077
0.93281,-0.01031,0.10179
0.94125,-0.00921,0.11672
0.94951,-0.00813,0.13264
0.95752,-0.00707,0.14865
0.96521,-0.00604,0.16755
0.97251,-0.00505,0.18942
0.97935,-0.00412,0.21433
0.98569,-0.00325,0.24138
0.99149,-0.00245,0.28316
0.99676,-0.00171,0.33696
1.00000,-0.00126,0.47143
